Code,Country,MPI Urban,Headcount Ratio Urban,Intensity of Deprivation Urban,MPI Rural,Headcount Ratio Rural,Intensity of Deprivation Rural,Sub-national region,World region,MPI National,MPI Regional,Headcount Ratio Regional,Intensity of deprivation Regional,Latitude,Longitude,Hover Name
KAZ,Kazakhstan,0.0,0.0,33.3,0.0,0.09,33.3,Unknown,Unknown,0.0,0.0,0.0,0.0,26.492533,92.3308789,Kazakhstan
SRB,Serbia,0.0,0.1,41.4,0.002,0.5,40.3,Unknown,Unknown,0.0,0.0,0.0,0.0,26.492533,92.3308789,Serbia
KGZ,Kyrgyzstan,0.0,0.1,40.2,0.003,0.7,37.1,Unknown,Unknown,0.0,0.0,0.0,0.0,26.492533,92.3308789,Kyrgyzstan
TUN,Tunisia,0.0,0.1,35.6,0.012,3.18,38.7,Unknown,Unknown,0.0,0.0,0.0,0.0,26.492533,92.3308789,Tunisia
ARM,Armenia,0.001,0.2,33.3,0.001,0.39,36.9,Unknown,Unknown,0.0,0.0,0.0,0.0,26.492533,92.3308789,Armenia
MKD,"Macedonia, The former Yugoslav Republic of",0.001,0.3,36.3,0.004,1.17,35.5,Unknown,Unknown,0.0,0.0,0.0,0.0,26.492533,92.3308789,"Macedonia, The former Yugoslav Republic of"
TKM,Turkmenistan,0.001,0.4,33.9,0.001,0.32,34.3,Unknown,Unknown,0.0,0.0,0.0,0.0,26.492533,92.3308789,Turkmenistan
MDA,"Moldova, Republic of",0.001,0.3,42.2,0.003,1.01,34.7,Unknown,Unknown,0.0,0.0,0.0,0.0,26.492533,92.3308789,"Moldova, Republic of"
GUY,Guyana,0.001,0.4,38.2,0.017,4.25,40.4,Barima-Waini,Latin America and Caribbean,0.013,0.057,15.0,38.0,7.7559147,-59.7179022,"Barima-Waini, Guyana"
GUY,Guyana,0.001,0.4,38.2,0.017,4.25,40.4,Cuyuni-Mazaruni and Potaro-Siparuni,Latin America and Caribbean,0.013,0.095,22.1,42.8,4.9,-59.3,"Cuyuni-Mazaruni and Potaro-Siparuni, Guyana"
GUY,Guyana,0.001,0.4,38.2,0.017,4.25,40.4,Demerara-Mahaica,Latin America and Caribbean,0.013,0.004,1.2,36.7,6.4547883,-58.1280676,"Demerara-Mahaica, Guyana"
GUY,Guyana,0.001,0.4,38.2,0.017,4.25,40.4,East Berbice-Corentyne,Latin America and Caribbean,0.013,0.006,1.7,37.6,3.8972611,-58.1383925,"East Berbice-Corentyne, Guyana"
GUY,Guyana,0.001,0.4,38.2,0.017,4.25,40.4,Essequibo Islands-West Demerara,Latin America and Caribbean,0.013,0.005,1.3,38.2,6.666667,-58.5,"Essequibo Islands-West Demerara, Guyana"
GUY,Guyana,0.001,0.4,38.2,0.017,4.25,40.4,Mahaica-Berbice,Latin America and Caribbean,0.013,0.006,1.5,38.2,6.2766898,-57.82391,"Mahaica-Berbice, Guyana"
GUY,Guyana,0.001,0.4,38.2,0.017,4.25,40.4,Pomeroon-Supenaam,Latin America and Caribbean,0.013,0.0139999999999999,3.5,40.4,7.2049548,-58.8295641,"Pomeroon-Supenaam, Guyana"
GUY,Guyana,0.001,0.4,38.2,0.017,4.25,40.4,Upper Demerara-Berbice,Latin America and Caribbean,0.013,0.004,1.1,37.0,5.5612677,-58.154152,"Upper Demerara-Berbice, Guyana"
GUY,Guyana,0.001,0.4,38.2,0.017,4.25,40.4,Upper Takutu-Upper Essequibo,Latin America and Caribbean,0.013,0.145,34.0,42.6,2.8449628,-58.9784823,"Upper Takutu-Upper Essequibo, Guyana"
MNE,Montenegro,0.002,0.4,47.2,0.0,0.09,41.1,Unknown,Unknown,0.0,0.0,0.0,0.0,26.492533,92.3308789,Montenegro
