Country,Median Salary,Inequality in Income,GDP per capita,Intensity of Deprivation Urban,Intensity of Deprivation Rural,Normalized Median Salary,Normalized Inequality in Income,Normalized GDP per capita,Normalized Intensity of Deprivation Urban,Normalized Intensity of Deprivation Rural,Poverty Index
Afghanistan,853.74,0.0,1934.56,45.8,53.6,0.9132031390585874,0.0,0.9874186546461803,0.8222621184919209,0.7712230215827338,3.4941069337794226
Aland Islands,3319.24,0.0,0.0,0.0,0.0,0.662544085188495,0.0,1.0,0.0,0.0,1.662544085188495
Albania,832.84,13.17898,11104.17,37.7,37.7,0.9153279714357462,0.23122640185276158,0.9277844069775427,0.6768402154398564,0.5424460431654676,3.2936250388713746
Algeria,1148.84,11.5052,14228.03,36.9,40.0,0.883201319226073,0.2018597796336585,0.9074684894061139,0.6624775583482944,0.5755395683453237,3.2305467149594636
American Samoa,1390.0,0.0,0.0,0.0,0.0,0.8586833969258048,0.0,1.0,0.0,0.0,1.8586833969258048
Andorra,3668.08,0.0,0.0,0.0,0.0,0.6270787011479177,0.0,1.0,0.0,0.0,1.6270787011479177
Angola,284.39,28.87733,7771.44,0.0,0.0,0.9710870296775033,0.5066553793248649,0.949458703510623,0.0,0.0,2.427201112512991
Antigua and Barbuda,1548.15,0.0,0.0,0.0,0.0,0.8426048208278306,0.0,1.0,0.0,0.0,1.8426048208278307
Argentina,110.28,28.099767,18556.38,0.0,0.0,0.9887882050453077,0.4930129658221629,0.8793192119672101,0.0,0.0,2.361120382834681
Armenia,1700.25,17.43837,11454.43,33.3,36.9,0.8271413277864025,0.3059577865113341,0.92550650294581,0.5978456014362656,0.5309352517985612,3.1873864704783736
Aruba,1106.15,0.0,0.0,0.0,0.0,0.8875414672730064,0.0,1.0,0.0,0.0,1.8875414672730064
Australia,4306.45,17.126,49830.8,0.0,0.0,0.5621777803533321,0.3004772264720331,0.6759270820976748,0.0,0.0,1.53858208892304
Austria,3572.94,14.93291,42988.07,0.0,0.0,0.6367512634619314,0.2619992631061829,0.7204285445971286,0.0,0.0,1.619179071165243
Azerbaijan,1558.82,8.859,16628.06,37.1,40.2,0.8415200379826495,0.1554319601375535,0.8918599756926452,0.6660682226211849,0.5784172661870504,3.1332974626210834
Bahamas,3541.0,0.0,0.0,0.0,0.0,0.6399984953340104,0.0,1.0,0.0,0.0,1.6399984953340105
Bahrain,3617.02,0.0,39498.77,0.0,0.0,0.6322697988119239,0.0,0.7431210888154951,0.0,0.0,1.375390887627419
Bangladesh,218.57,16.55655,4099.25,44.7,47.9,0.9777787266662397,0.29048617446838376,0.9733406666416934,0.8025134649910234,0.6892086330935252,3.733327665860865
Barbados,1395.0,33.58537775,11995.19,34.2,34.3,0.8581750638212213,0.5892585049828057,0.9219896886244493,0.6140035906642729,0.49352517985611505,3.4769520279488644
Belarus,849.5,9.64549,18727.32,0.0,0.0,0.9136342055312742,0.1692309986665731,0.8782075094742494,0.0,0.0,1.9610727136720967
Belgium,5729.39,10.30447,39756.2,0.0,0.0,0.41751227878614117,0.18079286265702857,0.7414469015406451,0.0,0.0,1.3397520429838148
Belize,1730.0,37.92633,0.0,37.9,39.9,0.8241167458141311,0.6654209067302969,1.0,0.6804308797127468,0.5741007194244604,3.744069251681635
Benin,488.25,31.97436,2220.18,46.79999999999999,50.20000000000001,0.9503612723374274,0.5609930521440101,0.9855611346623296,0.8402154398563733,0.7223021582733814,4.059433057273521
Bermuda,1440.0,0.0,0.0,0.0,0.0,0.8536000658799703,0.0,1.0,0.0,0.0,1.8536000658799703
Bhutan,407.26,19.95514103,0.0,39.5,44.2,0.9585952519654699,0.35011476296582217,1.0,0.7091561938958707,0.6359712230215828,3.6538374318487454
